Sample,Seq Id,Position,Reads (Cov),Reads (Cov),Score,Skew,Freq,Annotation,Gene,Product
,NZ_CP012004,"""3150238=""",30 (0.120),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_33,NC_009083,"""11236=""",116 (0.030),2667 (0.780),171/220,NT,89.0%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",558 (0.150),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_33,NC_009083,"""=11251""",118 (0.030),1526 (0.440),162/220,NT,82.2%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",558 (0.150),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_33,NZ_CP012004,"""1059009=""",35 (0.210),7 (0.040),7/252,NT,6.0%,intergenic(+85/280),ACX60_RS05015/ACX60_RS05020,S(hydroxymethyl)glutathione synthase/chaperone protein
,NZ_CP012005,"""=132540""",185 (0.980),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_33,NZ_CP012004,"""1389363=""",0 (0.000),180 (1.000),82/252,NT,66.1%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",185 (0.980),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_33,NZ_CP012004,"""=1389371""",8 (0.050),101 (0.570),58/250,NT,54.2%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",163 (0.870),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_33,NZ_CP012004,"""2846783=""",0 (0.000),186 (1.120),78/246,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_33,NZ_CP012004,"""=2846790""",0 (0.000),210 (1.250),85/248,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_33,NZ_CP012004,"""=3150084""",12 (0.070),12 (0.080),12/218,NT,54.1%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",10 (0.070),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_33,NZ_CP012004,"""3393567=""",121 (0.710),24 (0.140),20/250,NT,16.7%,coding(496/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012004,"""=3613286""",NA (NA),,,,,coding(429/453nt),ACX60_RS17045,endonuclease
breseq_33,NZ_CP012004,"""=3393572""",113 (0.660),33 (0.200),21/250,NT,22.7%,coding(501/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012004,"""3612187=""",NA (NA),,,,,intergenic(2/56),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_33,NZ_CP012004,"""=3393839""",119 (0.700),13 (0.070),12/252,NT,8.9%,coding(768/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012005,"""95905=""",147 (0.780),,,,,intergenic(22/71),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
breseq_33,NZ_CP012004,"""3394813=""",134 (0.790),19 (0.110),14/252,NT,12.4%,coding(1742/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012004,"""3612187=""",NA (NA),,,,,intergenic(2/56),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_33,NZ_CP012004,"""=3394818""",136 (0.800),9 (0.050),8/250,NT,6.3%,coding(1747/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012004,"""=3613286""",NA (NA),,,,,coding(429/453nt),ACX60_RS17045,endonuclease
breseq_34,NC_009083,"""11236=""",129 (0.020),3917 (0.750),185/220,NT,89.2%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",832 (0.150),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_34,NC_009083,"""=11251""",129 (0.020),2228 (0.430),173/220,NT,82.5%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",832 (0.150),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_34,NZ_CP012004,"""1389363=""",0 (0.000),261 (1.260),97/252,NT,73.6%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",187 (1.030),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_34,NZ_CP012004,"""=1389371""",5 (0.020),131 (0.640),66/250,NT,66.3%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",128 (0.710),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_34,NZ_CP012004,"""2846783=""",0 (0.000),279 (1.220),110/246,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_34,NZ_CP012004,"""=2846790""",0 (0.000),307 (1.340),108/248,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_34,NZ_CP012004,"""3207222=""",100 (0.430),188 (0.930),86/246,NT,60.4%,coding(27/270nt),ACX60_RS15180,phosphocarrier protein HPr
,NZ_CP012005,"""=97084""",149 (0.840),,,,,intergenic(+18/12),ACX60_RS19365/ACX60_RS19370,IS4 family transposase/transcriptional regulator
breseq_34,NZ_CP012004,"""=3207230""",96 (0.410),274 (1.320),105/252,NT,69.3%,coding(19/270nt),ACX60_RS15180,phosphocarrier protein HPr
,NZ_CP012005,"""95905=""",147 (0.810),,,,,intergenic(22/71),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
breseq_34,NZ_CP012004,"""3393059=""",223 (0.950),27 (0.120),24/252,NT,10.8%,intergenic(+73/13),ACX60_RS16045/ACX60_RS16050,RNA pyrophosphohydrolase/phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012004,"""3612187=""",NA (NA),,,,,intergenic(2/56),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_34,NZ_CP012004,"""=3393063""",225 (0.960),22 (0.090),17/252,NT,8.9%,intergenic(+77/9),ACX60_RS16045/ACX60_RS16050,RNA pyrophosphohydrolase/phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012004,"""=3613287""",NA (NA),,,,,coding(428/453nt),ACX60_RS17045,endonuclease
breseq_35,NC_009083,"""11236=""",291 (0.070),3216 (0.730),169/220,NT,81.5%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",1204 (0.250),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_35,NC_009083,"""=11251""",293 (0.070),1719 (0.390),172/220,NT,70.2%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",1204 (0.250),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_35,NZ_CP012004,"""1389363=""",1 (0.000),255 (0.840),95/252,NT,60.4%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",334 (1.020),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_35,NZ_CP012004,"""=1389371""",8 (0.030),173 (0.570),70/250,NT,55.0%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",275 (0.840),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_35,NZ_CP012004,"""2846783=""",0 (0.000),348 (1.280),124/246,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_35,NZ_CP012004,"""=2846790""",0 (0.000),322 (1.170),112/248,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_35,NZ_CP012004,"""=3150084""",33 (0.120),15 (0.060),11/218,NT,36.8%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",23 (0.100),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_36,NC_009083,"""11236=""",151 (0.030),4632 (0.830),194/218,NT,91.3%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",749 (0.120),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_36,NC_009083,"""=11251""",153 (0.030),2120 (0.380),168/218,NT,82.8%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",749 (0.120),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_36,NZ_CP012004,"""1059009=""",50 (0.200),10 (0.040),7/250,NT,5.8%,intergenic(+85/280),ACX60_RS05015/ACX60_RS05020,S(hydroxymethyl)glutathione synthase/chaperone protein
,NZ_CP012005,"""=132540""",274 (1.170),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_36,NZ_CP012004,"""1389363=""",3 (0.010),223 (0.910),90/250,NT,61.7%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",274 (1.170),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_36,NZ_CP012004,"""=1389371""",13 (0.050),141 (0.580),68/248,NT,57.2%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",198 (0.850),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_36,NZ_CP012004,"""2846783=""",1 (0.000),238 (0.960),99/244,NT,99.6%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_36,NZ_CP012004,"""=2846790""",0 (0.000),294 (1.170),102/246,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_36,NZ_CP012004,"""3393567=""",156 (0.610),43 (0.170),30/248,NT,21.7%,coding(496/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012004,"""=3613286""",NA (NA),,,,,coding(429/453nt),ACX60_RS17045,endonuclease
breseq_36,NZ_CP012004,"""=3393572""",156 (0.610),57 (0.230),39/248,NT,26.9%,coding(501/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012004,"""3612187=""",NA (NA),,,,,intergenic(2/56),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_36,NZ_CP012004,"""3394813=""",205 (0.810),15 (0.060),13/250,NT,6.8%,coding(1742/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012004,"""3612187=""",NA (NA),,,,,intergenic(2/56),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_36,NZ_CP012004,"""=3394818""",200 (0.790),15 (0.060),13/248,NT,7.0%,coding(1747/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012004,"""=3613286""",NA (NA),,,,,coding(429/453nt),ACX60_RS17045,endonuclease
breseq_37,NC_009083,"""11236=""",83 (0.030),2655 (0.900),169/212,NT,93.1%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",319 (0.100),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_37,NC_009083,"""=11251""",84 (0.030),1154 (0.390),154/212,NT,85.5%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",319 (0.100),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_37,NZ_CP012004,"""1389363=""",0 (0.000),177 (1.130),80/244,NT,72.5%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",134 (0.910),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_37,NZ_CP012004,"""=1389371""",7 (0.040),96 (0.620),50/242,NT,64.7%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",98 (0.670),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_37,NZ_CP012004,"""2846783=""",0 (0.000),163 (1.010),75/238,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_37,NZ_CP012004,"""=2846790""",0 (0.000),190 (1.170),78/240,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_37,NZ_CP012004,"""=3150084""",14 (0.080),9 (0.060),8/210,NT,41.8%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",13 (0.090),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_37,NZ_CP012004,"""3207222=""",247 (1.490),15 (0.100),14/238,NT,7.5%,coding(27/270nt),ACX60_RS15180,phosphocarrier protein HPr
,NZ_CP012005,"""=97084""",127 (0.880),,,,,intergenic(+18/12),ACX60_RS19365/ACX60_RS19370,IS4 family transposase/transcriptional regulator
breseq_37,NZ_CP012004,"""=3207230""",236 (1.430),36 (0.230),28/244,NT,16.6%,coding(19/270nt),ACX60_RS15180,phosphocarrier protein HPr
,NZ_CP012005,"""95905=""",127 (0.860),,,,,intergenic(22/71),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
breseq_38,NC_009083,"""11236=""",217 (0.080),2005 (0.790),165/212,NT,80.5%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",780 (0.270),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_38,NC_009083,"""=11251""",218 (0.080),807 (0.320),133/212,NT,62.5%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",780 (0.270),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_38,NZ_CP012004,"""=897405""",86 (0.690),5 (0.040),5/242,NT,5.3%,intergenic(480/127),ACX60_RS04265/ACX60_RS04270,hypothetical protein/peptide synthetase
,NZ_CP012005,"""131502=""",93 (0.790),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_38,NZ_CP012004,"""1389363=""",0 (0.000),120 (0.990),64/244,NT,66.5%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",121 (1.020),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_38,NZ_CP012004,"""=1389371""",4 (0.030),67 (0.560),44/242,NT,58.0%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",93 (0.790),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_38,NZ_CP012004,"""2846783=""",0 (0.000),108 (0.890),59/238,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_38,NZ_CP012004,"""=2846790""",0 (0.000),163 (1.340),75/240,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_38,NZ_CP012004,"""=3150084""",12 (0.100),12 (0.110),11/210,NT,59.5%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",6 (0.060),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_39,NC_009083,"""11236=""",84 (0.030),2797 (0.950),180/212,NT,92.8%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",362 (0.120),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_39,NC_009083,"""=11251""",84 (0.030),1190 (0.400),156/212,NT,84.6%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",362 (0.120),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_39,NZ_CP012004,"""1389363=""",2 (0.010),117 (0.810),67/244,NT,58.8%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",162 (1.040),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_39,NZ_CP012004,"""=1389371""",5 (0.040),65 (0.450),41/242,NT,54.2%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",105 (0.680),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_39,NZ_CP012004,"""1851725=""",90 (0.670),12 (0.090),11/244,NT,11.8%,coding(628/1824nt),ACX60_RS08725,acylCoA dehydrogenase
,NZ_CP012004,"""=3613287""",NA (NA),,,,,coding(428/453nt),ACX60_RS17045,endonuclease
breseq_39,NZ_CP012004,"""=1851730""",94 (0.700),14 (0.100),13/242,NT,13.1%,coding(633/1824nt),ACX60_RS08725,acylCoA dehydrogenase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_39,NZ_CP012004,"""2846783=""",0 (0.000),149 (1.130),75/238,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_39,NZ_CP012004,"""=2846790""",0 (0.000),162 (1.220),74/240,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_39,NZ_CP012004,"""=3150084""",10 (0.070),7 (0.060),6/210,NT,50.7%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",5 (0.040),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_39,NZ_CP012004,"""3393567=""",83 (0.620),14 (0.100),11/242,NT,14.5%,coding(496/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012004,"""=3613286""",NA (NA),,,,,coding(429/453nt),ACX60_RS17045,endonuclease
breseq_39,NZ_CP012004,"""=3393572""",81 (0.600),25 (0.190),19/242,NT,23.7%,coding(501/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012004,"""3612187=""",NA (NA),,,,,intergenic(2/56),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_39,NZ_CP012004,"""3394323=""",126 (0.930),8 (0.060),7/242,NT,6.1%,coding(1252/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012005,"""95905=""",121 (0.790),,,,,intergenic(22/71),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
breseq_39,NZ_CP012004,"""3394813=""",114 (0.850),6 (0.040),5/244,NT,5.0%,coding(1742/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012004,"""3612187=""",NA (NA),,,,,intergenic(2/56),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_40,NC_009083,"""11236=""",112 (0.040),2892 (1.010),178/212,NT,91.6%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",431 (0.140),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_40,NC_009083,"""=11251""",116 (0.040),1160 (0.410),151/212,NT,81.4%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",431 (0.140),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_40,NZ_CP012004,"""1389363=""",1 (0.010),175 (1.040),87/244,NT,65.2%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",186 (1.050),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_40,NZ_CP012004,"""=1389371""",12 (0.080),110 (0.660),53/242,NT,53.2%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",182 (1.030),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_40,NZ_CP012004,"""2846783=""",0 (0.000),166 (1.070),72/238,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_40,NZ_CP012004,"""=2846790""",0 (0.000),175 (1.120),80/240,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_40,NZ_CP012004,"""=3150084""",27 (0.170),8 (0.060),6/210,NT,29.5%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",15 (0.110),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_40,NZ_CP012005,"""=112800""",0 (0.000),4 (0.020),3/242,NT,100%,coding(829/1431nt),ACX60_RS19375,hypothetical protein
,NZ_CP012005,"""112804=""",NA (NA),,,,,coding(825/1431nt),ACX60_RS19375,hypothetical protein
breseq_42,NC_009083,"""11236=""",125 (0.020),4382 (0.900),195/210,NT,93.8%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",472 (0.090),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_42,NC_009083,"""=11251""",123 (0.020),1859 (0.380),167/210,NT,86.5%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",472 (0.090),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_42,NZ_CP012004,"""1389363=""",3 (0.010),281 (0.990),110/242,NT,64.8%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",302 (1.000),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_42,NZ_CP012004,"""=1389371""",5 (0.020),155 (0.550),68/240,NT,54.8%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",251 (0.840),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_42,NZ_CP012004,"""1851725=""",136 (0.510),35 (0.130),28/242,NT,20.5%,coding(628/1824nt),ACX60_RS08725,acylCoA dehydrogenase
,NZ_CP012004,"""=3613287""",NA (NA),,,,,coding(428/453nt),ACX60_RS17045,endonuclease
breseq_42,NZ_CP012004,"""=1851730""",142 (0.540),36 (0.140),29/240,NT,20.4%,coding(633/1824nt),ACX60_RS08725,acylCoA dehydrogenase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_42,NZ_CP012004,"""2846783=""",0 (0.000),267 (1.030),112/236,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_42,NZ_CP012004,"""=2846790""",0 (0.000),347 (1.330),108/238,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
